# Wordlist

# META
@vowels:T V _

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	CUSTOMID	ALIGNMENT
918	57	bark	škóra	ˈʃkɨra	Lower Sorbian	ˈʃ k ɨ r a	3 1 7 5 7	ACYBZ	SKIRA	5	5.S.C 5.K.C 5.I.V 5.R.C 5.A.V	2.0 1.5 1.3 1.75 0.8	0	62	ˈʃ k ɨ r - a
920	57	bark	кора	koˈra	Bulgarian	k o ˈr a	1 7 5 7	AXBZ	KURA	2	2.K.C 2.U.V 2.R.C 2.A.V	2.0 1.5 1.75 0.8	0	62	- k o ˈr - a
921	57	bark	кора	koˈra	Macedonian	k o ˈr a	1 7 5 7	AXBZ	KURA	6	6.K.C 6.U.V 6.R.C 6.A.V	2.0 1.5 1.75 0.8	0	62	- k o ˈr - a
922	57	bark	kora	ˈkorɒ	Serbo-Croatian Latin	ˈk o r ɒ	1 7 5 7	AXBZ	KURO	12	12.K.C 12.U.V 12.R.C 12.O.V	2.0 1.5 1.75 0.8	0	62	- ˈk o r - ɒ
923	57	bark	кора	koˈra	Serbo-Croatian Cyrillic	k o ˈr a	1 7 5 7	AXBZ	KURA	11	11.K.C 11.U.V 11.R.C 11.A.V	2.0 1.5 1.75 0.8	0	62	- k o ˈr - a
924	57	bark	skorja	ˈskòːrja	Slovene	ˈs k òː r j a	3 1 7 5 6 7	ACYBCZ	SKURJA	14	14.S.C 14.K.C 14.U.V 14.R.C 14.J.C 14.A.V	2.0 1.5 1.3 1.75 1.5 0.8	0	62	ˈs k òː r j a
925	57	bark	кара	ˈkara	Belarusian	ˈk a r a	1 7 5 7	AXBZ	KARA	1	1.K.C 1.A.V 1.R.C 1.A.V	2.0 1.5 1.75 0.8	0	62	- ˈk a r - a
926	57	bark	кора	koˈra	Russian	k o ˈr a	1 7 5 7	AXBZ	KURA	9	9.K.C 9.U.V 9.R.C 9.A.V	2.0 1.5 1.75 0.8	0	62	- k o ˈr - a
927	57	bark	кора	koˈra	Rusyn	k o ˈr a	1 7 5 7	AXBZ	KURA	10	10.K.C 10.U.V 10.R.C 10.A.V	2.0 1.5 1.75 0.8	0	62	- k o ˈr - a
928	57	bark	кора	koˈra	Ukrainian	k o ˈr a	1 7 5 7	AXBZ	KURA	15	15.K.C 15.U.V 15.R.C 15.A.V	2.0 1.5 1.75 0.8	0	62	- k o ˈr - a
#
3281	205	because	because	bɪˈkɒz	English	b ɪ ˈk ɒ z	1 7 1 7 3	AXBYN	PIKOS	4	4.P.C 4.I.V 4.K.C 4.O.V 4.S.c	2.0 1.5 1.75 1.3 0.8	0	67	b ɪ ˈk ɒ z
3283	205	because	protože	ˈprotoʒɛ	Czech	ˈp r o t o ʒ ɛ	1 5 7 1 7 3 7	ACXBYBZ	PRUTUSE	3	3.P.C 3.R.C 3.U.V 3.T.C 3.U.V 3.S.C 3.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	66	ˈp r o t o ʒ ɛ
3284	205	because	bo	bʊə	Polish	b ʊə	1 7	AX	PY	8	8.P.C 8.Y.V	2.0 1.5	0	65	b ʊə
3285	205	because	pretože	ˈprɛtɔʒɛ	Slovak	ˈp r ɛ t ɔ ʒ ɛ	1 5 7 1 7 3 7	ACXBYBZ	PRETUSE	13	13.P.C 13.R.C 13.E.V 13.T.C 13.U.V 13.S.C 13.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	66	ˈp r ɛ t ɔ ʒ ɛ
3286	205	because	dokulaž	ˈdɔkulaʃ	Lower Sorbian	ˈd ɔ k u l a ʃ	1 7 1 7 5 7 3	AXBYBYN	TUKYLAS	5	5.T.C 5.U.V 5.K.C 5.Y.V 5.L.C 5.A.V 5.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	68	ˈd ɔ k u l a ʃ
3290	205	because	zbog	zbôɡ	Serbo-Croatian Latin	z b ô ɡ	3 1 7 1	ACYN	SPUK	12	12.S.C 12.P.C 12.U.V 12.K.c	2.0 1.5 1.3 0.8	0	72	z b ô ɡ
3291	205	because	због	zbôɡ	Serbo-Croatian Cyrillic	z b ô ɡ	3 1 7 1	ACYN	SPUK	11	11.S.C 11.P.C 11.U.V 11.K.c	2.0 1.5 1.3 0.8	0	72	z b ô ɡ
3292	205	because	zaradi	zâradi	Slovene	z â r a d i	3 7 5 7 1 7	AXBYBZ	SARATI	14	14.S.C 14.A.V 14.R.C 14.A.V 14.T.C 14.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	75	z â r a d i
3293	205	because	бо	bɔː	Belarusian	b ɔː	1 7	AX	PU	1	1.P.C 1.U.V	2.0 1.5	0	65	b ɔː
3294	205	because	потому	pətɐˈmuʂtə	Russian	p ə t ɐ ˈm u ʂ t ə	1 7 1 7 4 7 3 1 7	AXBYBYMBZ	PETEMYSTE	9	9.P.C 9.E.V 9.T.C 9.E.V 9.M.C 9.Y.V 9.S.c 9.T.C 9.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	0	70	p ə t ɐ ˈm u ʂ t ə
3295	205	because	бо	bɔː	Rusyn	b ɔː	1 7	AX	PU	10	10.P.C 10.U.V	2.0 1.5	0	65	b ɔː
3296	205	because	бо	bɔː	Ukrainian	b ɔː	1 7	AX	PU	15	15.P.C 15.U.V	2.0 1.5	0	65	b ɔː
#
1345	84	belly	belly	bɛli	English	b ɛ l i	1 7 5 7	AXBZ	PELI	4	4.P.C 4.E.V 4.L.C 4.I.V	2.0 1.5 1.75 0.8	0	77	b ɛ l i
1348	84	belly	brzuch	bʐux	Polish	b ʐ u x	1 3 7 3	ACXN	PSYG	8	8.P.C 8.S.C 8.Y.V 8.G.c	2.0 1.5 1.5 0.8	0	78	b ʐ u x -
1349	84	belly	brucho	ˈbruxɔ	Slovak	ˈb r u x ɔ	1 5 7 3 7	ACXBZ	PRYGU	13	13.P.C 13.R.C 13.Y.V 13.G.C 13.U.V	2.0 1.5 1.5 1.75 0.8	0	78	ˈb r u x ɔ
1350	84	belly	brjuch	brʲux	Lower Sorbian	b rʲ u x	1 5 7 3	ACXN	PRYG	5	5.P.C 5.R.C 5.Y.V 5.G.c	2.0 1.5 1.5 0.8	0	78	b rʲ u x -
1351	84	belly	brjuch	brʲux	Upper Sorbian	b rʲ u x	1 5 7 3	ACXN	PRYG	16	16.P.C 16.R.C 16.Y.V 16.G.c	2.0 1.5 1.5 0.8	0	78	b rʲ u x -
1352	84	belly	корем	koˈrɛm	Bulgarian	k o ˈr ɛ m	1 7 5 7 4	AXBYN	KUREM	2	2.K.C 2.U.V 2.R.C 2.E.V 2.M.c	2.0 1.5 1.75 1.3 0.8	0	76	k o ˈr ɛ m
1353	84	belly	стомак	ˈstɔmak	Macedonian	ˈs t ɔ m a k	3 1 7 4 7 1	ACYBYN	STUMAK	6	6.S.C 6.T.C 6.U.V 6.M.C 6.A.V 6.K.c	2.0 1.5 1.3 1.75 1.3 0.8	0	79	ˈs t ɔ m a k
1354	84	belly	trbuh	třbux	Serbo-Croatian Latin	t ř b u x	1 5 1 7 3	AXBYN	TRPYG	12	12.T.C 12.R.V 12.P.C 12.Y.V 12.G.c	2.0 1.5 1.75 1.3 0.8	0	82	t ř - b u x
1355	84	belly	трбух	třbux	Serbo-Croatian Cyrillic	t ř b u x	1 5 1 7 3	AXBYN	TRPYG	11	11.T.C 11.R.V 11.P.C 11.Y.V 11.G.c	2.0 1.5 1.75 1.3 0.8	0	82	t ř - b u x
