# Wordlist

# META
@vowels:T V _

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	CUSTOMID	ALIGNMENT
2678	167	ash	popjeł	ˈpɔpʲɛw	Lower Sorbian	ˈp ɔ pʲ ɛ w	1 7 1 7 6	AXBYN	popEw	5	5.p.C 5.o.V 5.p.C 5.E.V 5.w.c	2.0 1.5 1.75 1.3 0.8	0	28	ˈp ɔ pʲ - ɛ w
2679	167	ash	popjeł	ˈpɔpʲɛw	Upper Sorbian	ˈp ɔ pʲ ɛ w	1 7 1 7 6	AXBYN	popEw	16	16.p.C 16.o.V 16.p.C 16.E.V 16.w.c	2.0 1.5 1.75 1.3 0.8	0	28	ˈp ɔ pʲ - ɛ w
2680	167	ash	пепел	ˈpɛpɛl	Bulgarian	ˈp ɛ p ɛ l	1 7 1 7 5	AXBYN	pEpEl	2	2.p.C 2.E.V 2.p.C 2.E.V 2.l.c	2.0 1.5 1.75 1.3 0.8	0	28	ˈp ɛ p - ɛ l
2681	167	ash	пепел	ˈpɛpɛl	Macedonian	ˈp ɛ p ɛ l	1 7 1 7 5	AXBYN	pEpEl	6	6.p.C 6.E.V 6.p.C 6.E.V 6.l.c	2.0 1.5 1.75 1.3 0.8	0	28	ˈp ɛ p - ɛ l
2682	167	ash	pepeo	pêpeo	Serbo-Croatian Latin	p ê p eo	1 7 1 7	AXBZ	pepe	12	12.p.C 12.e.V 12.p.C 12.e.V	2.0 1.5 1.75 0.8	0	28	p ê p - eo -
2683	167	ash	пепео	pêpeo	Serbo-Croatian Cyrillic	p ê p eo	1 7 1 7	AXBZ	pepe	11	11.p.C 11.e.V 11.p.C 11.e.V	2.0 1.5 1.75 0.8	0	28	p ê p - eo -
2684	167	ash	pepel	pɛˈpéːw	Slovene	p ɛ ˈp éː w	1 7 1 7 6	AXBYN	pEpew	14	14.p.C 14.E.V 14.p.C 14.e.V 14.w.c	2.0 1.5 1.75 1.3 0.8	0	28	p ɛ ˈp - éː w
2686	167	ash	пепел	ˈpɛpɛl	Russian	ˈp ɛ p ɛ l	1 7 1 7 5	AXBYN	pEpEl	9	9.p.C 9.E.V 9.p.C 9.E.V 9.l.c	2.0 1.5 1.75 1.3 0.8	0	28	ˈp ɛ p - ɛ l
2688	167	ash	попіл	ˈpɔpʲil	Ukrainian	ˈp ɔ pʲ i l	1 7 1 7 5	AXBYN	popil	15	15.p.C 15.o.V 15.p.C 15.i.V 15.l.c	2.0 1.5 1.75 1.3 0.8	0	28	ˈp ɔ pʲ - i l
#
3201	200	at	at	æt	English	æ t	7 1	XN	Et	4	4.E.V 4.t.c	1.5 0.8	0	32	æ t
3203	200	at	u	u	Czech	u	7	X	u	3	3.u.V	1.5	0	31	u
3204	200	at	u	u	Polish	u	7	X	u	8	8.u.V	1.5	0	31	u
3205	200	at	pri	prî	Slovak	p r î	1 5 7	ACX	pri	13	13.p.C 13.r.C 13.i.V	2.0 1.5 1.5	0	36	p r î
3206	200	at	wu	u	Lower Sorbian	u	7	X	u	5	5.u.V	1.5	0	31	u
3207	200	at	při	prɪ	Upper Sorbian	p r ɪ	1 5 7	ACX	pri	16	16.p.C 16.r.C 16.i.V	2.0 1.5 1.5	0	36	p r ɪ
3208	200	at	в	w	Bulgarian	w	6	A	w	2	2.w.C	2.0	0	30	w
3209	200	at	до	də	Macedonian	d ə	1 7	AX	dI	6	6.d.C 6.I.V	2.0 1.5	0	34	d ə
3210	200	at	u	u	Serbo-Croatian Latin	u	7	X	u	12	12.u.V	1.5	0	31	u
3211	200	at	у	u	Serbo-Croatian Cyrillic	u	7	X	u	11	11.u.V	1.5	0	31	u
3212	200	at	v	v	Slovene	v	3	A	v	14	14.v.C	2.0	0	30	v
3213	200	at	каля	kɐˈlʲa	Belarusian	k ɐ ˈlʲ a	1 7 5 7	AXBZ	kala	1	1.k.C 1.a.V 1.l.C 1.a.V	2.0 1.5 1.75 0.8	0	29	k ɐ ˈlʲ a
3214	200	at	при	prʲɪ	Russian	p rʲ ɪ	1 5 7	ACX	pri	9	9.p.C 9.r.C 9.i.V	2.0 1.5 1.5	0	36	p rʲ ɪ
3215	200	at	коло	kôlo	Rusyn	k ô l o	1 7 5 7	AXBZ	kolo	10	10.k.C 10.o.V 10.l.C 10.o.V	2.0 1.5 1.75 0.8	0	29	k ô l o
3216	200	at	коло	kôlo	Ukrainian	k ô l o	1 7 5 7	AXBZ	kolo	15	15.k.C 15.o.V 15.l.C 15.o.V	2.0 1.5 1.75 0.8	0	29	k ô l o
#
1393	87	back	back	bæk	English	b æ k	1 7 1	AXN	bEk	4	4.b.C 4.E.V 4.k.c	2.0 1.5 0.8	0	38	b æ k
1396	87	back	plecy	ˈplɛtsɨ	Polish	ˈp l ɛ t s ɨ	1 5 7 1 3 7	ACXBCZ	plEtsI	8	8.p.C 8.l.C 8.E.V 8.t.C 8.s.C 8.I.V	2.0 1.5 1.5 1.75 1.5 0.8	0	41	ˈp l ɛ t s ɨ
1397	87	back	chrbát	ˈxrbaːt	Slovak	ˈx r b aː t	3 5 1 7 1	AXBYN	xrbat	13	13.x.C 13.r.V 13.b.C 13.a.V 13.t.c	2.0 1.5 1.75 1.3 0.8	0	39	ˈx r - - b aː t
1398	87	back	kśebjat	ˈkɕebʲat	Lower Sorbian	ˈk ɕ e bʲ a t	1 3 7 1 7 1	ACXBYN	kSebat	5	5.k.C 5.S.C 5.e.V 5.b.C 5.a.V 5.t.c	2.0 1.5 1.5 1.75 1.3 0.8	0	39	ˈk ɕ e - bʲ a t
1400	87	back	гръб	ɡrɤp	Bulgarian	ɡ r ɤ p	1 5 7 1	ACXN	grop	2	2.g.C 2.r.C 2.o.V 2.p.c	2.0 1.5 1.5 0.8	0	37	ɡ r ɤ p
1401	87	back	грб	ɡrp	Macedonian	ɡ r p	1 5 1	AXN	grp	6	6.g.C 6.r.V 6.p.c	2.0 1.5 0.8	0	37	ɡ r - p
1402	87	back	leđa	lěːdʑa	Serbo-Croatian Latin	l ěː d ʑ a	5 7 1 3 7	AXBCZ	ledZa	12	12.l.C 12.e.V 12.d.C 12.Z.C 12.a.V	2.0 1.5 1.75 1.5 0.8	0	41	- l ěː d ʑ a
1403	87	back	леђа	lěːdʑa	Serbo-Croatian Cyrillic	l ěː d ʑ a	5 7 1 3 7	AXBCZ	ledZa	11	11.l.C 11.e.V 11.d.C 11.Z.C 11.a.V	2.0 1.5 1.75 1.5 0.8	0	41	- l ěː d ʑ a
1404	87	back	hrbet	ˈxərbət	Slovene	ˈx ə r b ə t	3 7 5 1 7 1	AXMBYN	xIrbIt	14	14.x.C 14.I.V 14.r.c 14.b.C 14.I.V 14.t.c	2.0 1.5 1.1 1.75 1.3 0.8	0	39	ˈx - ə r b ə t
1406	87	back	спина	spʲɪˈna	Russian	s pʲ ɪ ˈn a	3 1 7 4 7	ACYBZ	spina	9	9.s.C 9.p.C 9.i.V 9.n.C 9.a.V	2.0 1.5 1.3 1.75 0.8	0	42	s pʲ ɪ ˈn a
1408	87	back	спина	spʲɪˈna	Ukrainian	s pʲ ɪ ˈn a	3 1 7 4 7	ACYBZ	spina	15	15.s.C 15.p.C 15.i.V 15.n.C 15.a.V	2.0 1.5 1.3 1.75 0.8	0	42	s pʲ ɪ ˈn a
#
2961	185	bad	bad	bæd	English	b æ d	1 7 1	AXN	bEd	4	4.b.C 4.E.V 4.d.c	2.0 1.5 0.8	0	45	b æ d
2963	185	bad	špatný	ʃpatni	Czech	ʃ p a t n i	3 1 7 1 4 7	ACYBCZ	Spatni	3	3.S.C 3.p.C 3.a.V 3.t.C 3.n.C 3.i.V	2.0 1.5 1.3 1.75 1.5 0.8	0	44	ʃ p a t n i
2964	185	bad	zły	zwɨ	Polish	z w ɨ	3 6 7	ACX	zwI	8	8.z.C 8.w.C 8.I.V	2.0 1.5 1.5	0	46	z - w ɨ
2965	185	bad	zlý	ˈzɫiː	Slovak	ˈz ɫ iː	3 5 7	ACX	zli	13	13.z.C 13.l.C 13.i.V	2.0 1.5 1.5	0	52	ˈz ɫ iː
2966	185	bad	zły	zwɨ	Lower Sorbian	z w ɨ	3 6 7	ACX	zwI	5	5.z.C 5.w.C 5.I.V	2.0 1.5 1.5	0	46	z - w ɨ
2968	185	bad	лош	lôʃ	Bulgarian	l ô ʃ	5 7 3	AXN	loS	2	2.l.C 2.o.V 2.S.c	2.0 1.5 0.8	0	43	l ô ʃ
2969	185	bad	лош	lôʃ	Macedonian	l ô ʃ	5 7 3	AXN	loS	6	6.l.C 6.o.V 6.S.c	2.0 1.5 0.8	0	43	l ô ʃ
2970	185	bad	zao	zâo	Serbo-Croatian Latin	z â o	3 7 7	AXZ	zao	12	12.z.C 12.a.V 12.o.V	2.0 1.5 0.8	0	46	z â - o
2971	185	bad	зао	zaːwa	Serbo-Croatian Cyrillic	z aː w a	3 7 6 7	AXBZ	zawa	11	11.z.C 11.a.V 11.w.C 11.a.V	2.0 1.5 1.75 0.8	0	46	z aː w a
2974	185	bad	плохой	plɐˈxoj	Russian	p l ɐ ˈx o j	1 5 7 3 7 6	ACXBYN	plaxoy	9	9.p.C 9.l.C 9.a.V 9.x.C 9.o.V 9.y.c	2.0 1.5 1.5 1.75 1.3 0.8	0	49	p l ɐ ˈx o j
#
913	57	bark	bark	bɑːk	English	b ɑː k	1 7 1	AXN	bok	4	4.b.C 4.o.V 4.k.c	2.0 1.5 0.8	0	55	b ɑː k
914	57	bark	кора	koˈra	Old Church Slavonic	k o ˈr a	1 7 5 7	AXBZ	kora	7	7.k.C 7.o.V 7.r.C 7.a.V	2.0 1.5 1.75 0.8	0	53	- k o ˈr - a
916	57	bark	kora	ˈkorɒ	Polish	ˈk o r ɒ	1 7 5 7	AXBZ	koro	8	8.k.C 8.o.V 8.r.C 8.o.V	2.0 1.5 1.75 0.8	0	53	- ˈk o r - ɒ
917	57	bark	kôra	ˈkuora	Slovak	ˈk uo r a	1 7 5 7	AXBZ	kura	13	13.k.C 13.u.V 13.r.C 13.a.V	2.0 1.5 1.75 0.8	0	53	- ˈk uo r - a
918	57	bark	škóra	ˈʃkɨra	Lower Sorbian	ˈʃ k ɨ r a	3 1 7 5 7	ACYBZ	SkIra	5	5.S.C 5.k.C 5.I.V 5.r.C 5.a.V	2.0 1.5 1.3 1.75 0.8	0	53	ˈʃ k ɨ r - a
920	57	bark	кора	koˈra	Bulgarian	k o ˈr a	1 7 5 7	AXBZ	kora	2	2.k.C 2.o.V 2.r.C 2.a.V	2.0 1.5 1.75 0.8	0	53	- k o ˈr - a
921	57	bark	кора	koˈra	Macedonian	k o ˈr a	1 7 5 7	AXBZ	kora	6	6.k.C 6.o.V 6.r.C 6.a.V	2.0 1.5 1.75 0.8	0	53	- k o ˈr - a
922	57	bark	kora	ˈkorɒ	Serbo-Croatian Latin	ˈk o r ɒ	1 7 5 7	AXBZ	koro	12	12.k.C 12.o.V 12.r.C 12.o.V	2.0 1.5 1.75 0.8	0	53	- ˈk o r - ɒ
923	57	bark	кора	koˈra	Serbo-Croatian Cyrillic	k o ˈr a	1 7 5 7	AXBZ	kora	11	11.k.C 11.o.V 11.r.C 11.a.V	2.0 1.5 1.75 0.8	0	53	- k o ˈr - a
924	57	bark	skorja	ˈskòːrja	Slovene	ˈs k òː r j a	3 1 7 5 6 7	ACYBCZ	skorya	14	14.s.C 14.k.C 14.o.V 14.r.C 14.y.C 14.a.V	2.0 1.5 1.3 1.75 1.5 0.8	0	53	ˈs k òː r j a
925	57	bark	кара	ˈkara	Belarusian	ˈk a r a	1 7 5 7	AXBZ	kara	1	1.k.C 1.a.V 1.r.C 1.a.V	2.0 1.5 1.75 0.8	0	53	- ˈk a r - a
926	57	bark	кора	koˈra	Russian	k o ˈr a	1 7 5 7	AXBZ	kora	9	9.k.C 9.o.V 9.r.C 9.a.V	2.0 1.5 1.75 0.8	0	53	- k o ˈr - a
927	57	bark	кора	koˈra	Rusyn	k o ˈr a	1 7 5 7	AXBZ	kora	10	10.k.C 10.o.V 10.r.C 10.a.V	2.0 1.5 1.75 0.8	0	53	- k o ˈr - a
928	57	bark	кора	koˈra	Ukrainian	k o ˈr a	1 7 5 7	AXBZ	kora	15	15.k.C 15.o.V 15.r.C 15.a.V	2.0 1.5 1.75 0.8	0	53	- k o ˈr - a
#
3281	205	because	because	bɪˈkɒz	English	b ɪ ˈk ɒ z	1 7 1 7 3	AXBYN	bikoz	4	4.b.C 4.i.V 4.k.C 4.o.V 4.z.c	2.0 1.5 1.75 1.3 0.8	0	58	b ɪ ˈk ɒ z
3283	205	because	protože	ˈprotoʒɛ	Czech	ˈp r o t o ʒ ɛ	1 5 7 1 7 3 7	ACXBYBZ	protoZE	3	3.p.C 3.r.C 3.o.V 3.t.C 3.o.V 3.Z.C 3.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	57	ˈp r o t o ʒ ɛ
3284	205	because	bo	bʊə	Polish	b ʊə	1 7	AX	bu	8	8.b.C 8.u.V	2.0 1.5	0	56	- b ʊə -
3285	205	because	pretože	ˈprɛtɔʒɛ	Slovak	ˈp r ɛ t ɔ ʒ ɛ	1 5 7 1 7 3 7	ACXBYBZ	prEtoZE	13	13.p.C 13.r.C 13.E.V 13.t.C 13.o.V 13.Z.C 13.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	57	ˈp r ɛ t ɔ ʒ ɛ
3286	205	because	dokulaž	ˈdɔkulaʃ	Lower Sorbian	ˈd ɔ k u l a ʃ	1 7 1 7 5 7 3	AXBYBYN	dokulaS	5	5.d.C 5.o.V 5.k.C 5.u.V 5.l.C 5.a.V 5.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	59	ˈd ɔ k u l a ʃ
3290	205	because	zbog	zbôɡ	Serbo-Croatian Latin	z b ô ɡ	3 1 7 1	ACYN	zbog	12	12.z.C 12.b.C 12.o.V 12.g.c	2.0 1.5 1.3 0.8	0	56	z b ô ɡ
3291	205	because	због	zbôɡ	Serbo-Croatian Cyrillic	z b ô ɡ	3 1 7 1	ACYN	zbog	11	11.z.C 11.b.C 11.o.V 11.g.c	2.0 1.5 1.3 0.8	0	56	z b ô ɡ
3292	205	because	zaradi	zâradi	Slovene	z â r a d i	3 7 5 7 1 7	AXBYBZ	zaradi	14	14.z.C 14.a.V 14.r.C 14.a.V 14.d.C 14.i.V	2.0 1.5 1.75 1.3 1.75 0.8	0	66	z â r a d i
3293	205	because	бо	bɔː	Belarusian	b ɔː	1 7	AX	bo	1	1.b.C 1.o.V	2.0 1.5	0	56	- b ɔː -
3294	205	because	потому	pətɐˈmuʂtə	Russian	p ə t ɐ ˈm u ʂ t ə	1 7 1 7 4 7 3 1 7	AXBYBYMBZ	pItamuStI	9	9.p.C 9.I.V 9.t.C 9.a.V 9.m.C 9.u.V 9.S.c 9.t.C 9.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	0	61	p ə t ɐ ˈm u ʂ t ə
3295	205	because	бо	bɔː	Rusyn	b ɔː	1 7	AX	bo	10	10.b.C 10.o.V	2.0 1.5	0	56	- b ɔː -
3296	205	because	бо	bɔː	Ukrainian	b ɔː	1 7	AX	bo	15	15.b.C 15.o.V	2.0 1.5	0	56	- b ɔː -
#
1345	84	belly	belly	bɛli	English	b ɛ l i	1 7 5 7	AXBZ	bEli	4	4.b.C 4.E.V 4.l.C 4.i.V	2.0 1.5 1.75 0.8	0	68	b ɛ l i
1348	84	belly	brzuch	bʐux	Polish	b ʐ u x	1 3 7 3	ACXN	bZux	8	8.b.C 8.Z.C 8.u.V 8.x.c	2.0 1.5 1.5 0.8	0	69	b ʐ u x -
1349	84	belly	brucho	ˈbruxɔ	Slovak	ˈb r u x ɔ	1 5 7 3 7	ACXBZ	bruxo	13	13.b.C 13.r.C 13.u.V 13.x.C 13.o.V	2.0 1.5 1.5 1.75 0.8	0	69	ˈb r u x ɔ
1350	84	belly	brjuch	brʲux	Lower Sorbian	b rʲ u x	1 5 7 3	ACXN	brux	5	5.b.C 5.r.C 5.u.V 5.x.c	2.0 1.5 1.5 0.8	0	69	b rʲ u x -
1351	84	belly	brjuch	brʲux	Upper Sorbian	b rʲ u x	1 5 7 3	ACXN	brux	16	16.b.C 16.r.C 16.u.V 16.x.c	2.0 1.5 1.5 0.8	0	69	b rʲ u x -
1352	84	belly	корем	koˈrɛm	Bulgarian	k o ˈr ɛ m	1 7 5 7 4	AXBYN	korEm	2	2.k.C 2.o.V 2.r.C 2.E.V 2.m.c	2.0 1.5 1.75 1.3 0.8	0	67	k o ˈr ɛ m
1353	84	belly	стомак	ˈstɔmak	Macedonian	ˈs t ɔ m a k	3 1 7 4 7 1	ACYBYN	stomak	6	6.s.C 6.t.C 6.o.V 6.m.C 6.a.V 6.k.c	2.0 1.5 1.3 1.75 1.3 0.8	0	70	ˈs t ɔ m a k
1354	84	belly	trbuh	třbux	Serbo-Croatian Latin	t ř b u x	1 5 1 7 3	AXBYN	trbux	12	12.t.C 12.r.V 12.b.C 12.u.V 12.x.c	2.0 1.5 1.75 1.3 0.8	0	73	t ř - b u x
1355	84	belly	трбух	třbux	Serbo-Croatian Cyrillic	t ř b u x	1 5 1 7 3	AXBYN	trbux	11	11.t.C 11.r.V 11.b.C 11.u.V 11.x.c	2.0 1.5 1.75 1.3 0.8	0	73	t ř - b u x
1356	84	belly	trebuh	ˈtrèːbux	Slovene	ˈt r èː b u x	1 5 7 1 7 3	ACXBYN	trebux	14	14.t.C 14.r.C 14.e.V 14.b.C 14.u.V 14.x.c	2.0 1.5 1.5 1.75 1.3 0.8	0	73	ˈt r èː b u x
